isGood,BuyId,Score,Score2,Spread
FALSE,1260730,2.5487,2.1812,0.1442
TRUE,E834787,14.5836,4.2321,0.7098
FALSE,1055676,2.9068,2.8463,0.0208
TRUE,H228906,8.4625,2.9869,0.6470
FALSE,1304439,3.8600,3.7791,0.0210
FALSE,E735770,2.1977,1.9907,0.0942
TRUE,1852356,10.5999,6.7558,0.3627
TRUE,C025456,9.6959,4.4643,0.5396
FALSE,1250064,3.1074,3.0259,0.0262
FALSE,1428554,2.4778,2.3993,0.0317
TRUE,1684437,14.0584,9.1079,0.3521
TRUE,F724667,5.5295,2.9615,0.4644
TRUE,1641030,9.5932,5.0846,0.4700
FALSE,G819724,2.3094,2.2868,0.0098
TRUE,D087394,12.7826,4.5331,0.6454
FALSE,F295224,4.7400,3.8480,0.1882
FALSE,F962895,2.1748,2.1195,0.0254
TRUE,1610286,15.5465,4.0118,0.7419
FALSE,F247568,4.3324,3.6588,0.1555
TRUE,1056335,4.4112,2.2319,0.4940
FALSE,F642730,4.7076,4.6400,0.0144
FALSE,1721314,2.0916,2.0776,0.0067
FALSE,G204088,4.4148,3.7400,0.1528
TRUE,H269676,11.2394,3.8745,0.6553
FALSE,G205764,2.2841,2.2176,0.0291
TRUE,A082245,14.3135,3.9336,0.7252
FALSE,E277154,3.1544,2.9052,0.0790
TRUE,1999001,9.0911,3.9881,0.5613
FALSE,H520600,4.3554,4.0913,0.0607
TRUE,1875122,7.2388,4.9653,0.3141
TRUE,J343969,9.7871,3.7279,0.6191
FALSE,1462133,3.2958,3.0731,0.0676
TRUE,1533635,7.5673,3.8721,0.4883
FALSE,E307614,3.6092,2.5745,0.2867
TRUE,J180882,9.9752,3.5992,0.6392
TRUE,J970356,14.0940,5.5443,0.6066
FALSE,1869062,3.9472,3.5408,0.1030
FALSE,G010202,3.1658,3.0247,0.0446
TRUE,1385376,5.2052,3.1632,0.3923
FALSE,1435873,3.9710,3.8126,0.0399
FALSE,H440115,3.8958,3.8632,0.0084
TRUE,J225960,5.1864,2.2102,0.5739
FALSE,G011726,3.9495,3.9093,0.0102
FALSE,1579149,3.4468,3.3418,0.0304
FALSE,E368803,2.8327,2.7197,0.0399
FALSE,E127799,2.6132,2.4045,0.0799
TRUE,B045275,5.2227,2.6086,0.5005
TRUE,1756695,5.6619,2.6421,0.5333
FALSE,F443106,3.1947,3.1375,0.0179
FALSE,F442003,3.3125,3.0580,0.0768
FALSE,1496894,5.4181,5.3673,0.0094
TRUE,J654502,14.0630,2.9775,0.7883
TRUE,F886992,7.8813,4.9426,0.3729
TRUE,A033511,8.7081,3.6454,0.5814
TRUE,A054356,6.9345,4.3180,0.3773
FALSE,E705279,3.1606,3.1543,0.0020
FALSE,1358216,2.3861,2.2390,0.0616
FALSE,E667866,2.8505,2.7893,0.0215
TRUE,G846713,9.7686,7.5115,0.2311
TRUE,J890653,6.4743,3.3819,0.4776
FALSE,F828601,2.7195,2.2725,0.1644
FALSE,1665154,5.0861,4.1844,0.1773
TRUE,E556597,13.9562,3.1074,0.7773
FALSE,E584016,3.5317,3.4966,0.0099
TRUE,D065762,4.8937,2.5137,0.4863
FALSE,D053208,3.4681,3.4099,0.0168
TRUE,1677688,6.8978,2.5705,0.6273
TRUE,F381358,3.8500,2.6008,0.3245
FALSE,K028316,3.0157,2.5730,0.1468
FALSE,G654974,3.3785,3.3659,0.0037
FALSE,2006213,3.2407,2.9351,0.0943
TRUE,E165965,13.0400,5.4642,0.5810
TRUE,1148436,12.7003,4.4280,0.6513
FALSE,E273607,2.3766,2.2911,0.0360
FALSE,G024453,2.9235,2.8487,0.0256
TRUE,1731065,9.5875,3.8509,0.5983
FALSE,1254431,2.6351,2.5324,0.0390
TRUE,K068590,9.3913,5.0752,0.4596
FALSE,C024823,3.6932,3.6630,0.0082
FALSE,C067475,3.5988,3.4672,0.0366
FALSE,E521229,2.7464,2.6050,0.0515
TRUE,E511047,7.9980,3.1412,0.6073
TRUE,A063651,11.3746,3.6696,0.6774
TRUE,J992766,13.9096,3.3165,0.7616
FALSE,G732779,2.5149,2.4572,0.0230
TRUE,G886932,7.2775,2.7735,0.6189
FALSE,J895412,3.3416,3.1044,0.0710
TRUE,F750819,10.6256,10.6084,0.0016
FALSE,G661602,2.4490,2.4003,0.0199
